,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,ATP6,ND3,ND3,ND3,ND3,ND3,ND3,IFNG,ND3,ATP6,FCGR2B,ND3,CT45A10,ND1,ND3,ND3,ATP6,ND3,ND3,ND3,ND3,ND3,ATP6,ND3
1,ND3,ATP6,ND1,ATP6,ATP6,ATP6,ATP6,CLIC3,ND4,ND3,ND3,ATP6,ND3,ND3,ATP6,ND1,ND3,ND4,ATP6,ATP6,ATP6,ND4,ND3,ATP6
2,COX2,CYTB,ND4,COX2,ND1,ND1,ND4,ND3,ATP6,ND4,ND2,CYTB,ATP6,ND4,ND4,ATP6,COX2,ATP6,ND1,ND4,ND1,ATP6,ND4,ND4
3,COX3,COX3,ATP6,COX3,ND4,ND2,ND1,ATP6,ND1,COX3,ND4,ND4,ND4,ATP6,ND2,ND4,ND4,COX2,ND4,COX2,ND4,ND1,ND1,ND1
4,PLCG2,ND4,COX2,PLCG2,COX3,ND4,COX2,COX3,COX2,COX2,LINC00351,ND1,ND2,COX2,ND1,CYTB,COX3,ND1,COX3,COX3,ND2,ND2,COX2,COX2
5,ND4,COX2,COX3,ND4,CYTB,COX2,CYTB,ND1,CYTB,ND1,CYTB,ND2,CYTB,CYTB,COX2,COX3,CYTB,ND2,ND2,ND1,COX2,CYTB,COX3,CYTB
6,CYTB,ND1,ND2,ND1,COX2,COX3,COX3,ND4,ND2,ND2,COX2,COX3,ND1,ND2,CYTB,ND2,PLCG2,CYTB,COX2,CYTB,COX3,COX3,CYTB,COX3
7,ND1,ND2,CYTB,CYTB,ND2,APOLD1,ND2,CYTB,COX3,CYTB,ATP6,COX2,COX2,COX3,COX3,COX2,ND1,COX3,CYTB,ND2,CYTB,COX2,ND2,ND2
8,ND2,FKBP5,ZNF804A,ND2,FGFR3,PLCG2,CNTN5,COX2,SDK1,GJA5,COX3,DPEP2,COX3,FCGR2B,RHOH,ITGB2-AS1,ND2,GFAP,C7,FAM177B,PLCG2,NXN,PLCG2,ERBB4
9,SLC39A11,CHI3L1,ND6,FKBP5,C7,CYTB,LOC102546299,ND2,GFAP,LINC02742,ND1,GFAP,PLCG2,LINC00351,CNTN5,PECAM1,PARD3,ERBB4,FGFR3,GALNTL6,LINC02742,AHNAK,TIMP3,LINC02742
10,NEAT1,NHSL1,SEMA3E,ANLN,COL6A3,IL18R1,ARHGAP24,ND6,ND6,LYPD6,ANGPTL4,NLRC5,FKBP5,ANGPTL4,PECAM1,THSD4,APOD,MSR1,COL6A3,ERBB4,GFAP,LINC01317,TFPI,CA8
11,RANBP3L,PELI1,NEAT1,QDPR,ERBB4,GIMAP5,CDH20,PIK3R5,THSD7A,TSHZ2,CDC14A,VAV3,ALOX5AP,SLAMF1,ERBB4,PLD4,MT3,NPAS3,SYK,NEAT1,ND6,TTR,GPX3,ADARB2
12,HIF3A,HS3ST4,PDZRN4,LOC105371366,FCGBP,ST6GALNAC3,ND6,TENM1,CDH20,ND6,KIF19,PLCG2,PARD3,PLCG2,NDRG2,RELN,OLIG1,ARHGAP24,RGL3,PLCG2,NPAS3,FAXDC2,TXNIP,NPAS3
13,PARD3,ELMO1,GFAP,LDLRAD3,EGFR,TIMP3,THSD7A,GFAP,LINC02742,PLCG2,ZCCHC24,PHYHD1,TMCC3,CSRP1,FOXO1,NR2F2-AS1,TXNIP,MAML3,AGMO,STEAP1B,SPTLC3,CBLN2,FKBP5,GJA1
14,PLCE1,PLCG2,VAV3,MAN2A1,STEAP1B,CDKN1A,LINC02742,GPC5,TMEM132C,PTGDS,RFTN2,SLC7A2,NDRG2,ADARB2,LPCAT2,SLC25A48,VCAN,SGO1-AS1,FCGBP,ADAMTS9-AS2,STEAP1B,PLCG2,RANBP3L,GFAP
15,CSRP1,TXNIP,CBLN2,ERBIN,GREM1,TRIM22,PDE3A,CDH5,NXN,PLPPR1,ADARB2,SNTB1,SELPLG,NFATC2,ADARB2,ERBB4,FKBP5,KLHL1,ITGAL,EGFR,NEAT1,ERBB4,CEBPD,PLCG2
16,COL21A1,CPM,NDRG2,OLMALINC,ND6,IFI16,PLCG2,PLCG2,CNTN5,RASAL3,CSF2RA,SEMA3E,KIAA1217,RFTN2,THSD4,LUZP2,KIF19,SEMA3E,VWF,CNTN5,GREM1,GEM,AKR1C2,ND6
17,FKBP5,CD74,SEMA3C,LINC01445,VWF,CLEC4E,ADARB2,GPRC5B,ADARB2,HLA-DPA1,PLA2G4A,ADAMTSL1,SEMA3E,ND6,C8orf34,STX11,RGCC,LINC00968,CT69,NPAS3,LINC01317,NEAT1,APOD,IGFBP5
18,HPSE2,ARHGAP15,QKI,VSIR,CT69,CXCL16,NDRG2,LINC02742,PLCG2,MIR3681HG,SGCZ,PLXDC2,PTGDS,GREM1,GRIK1,CNTN5,OLIG2,LINC02742,PLCG2,ADARB2,CNTN5,CHST11,FTL,EGFR
19,SASH1,SERPINE1,FTL,ADARB2,CNTN5,ADAMTS9-AS2,SYTL3,DSEL-AS1,GREM1,HPSE2,LNCAROD,RUNX1,GRAMD2B,ARHGAP42,ANLN,PRELID2,HIF3A,GPR37,LINC01036,NXN,SEMA3E,NPAS3,ID3,LINC01317
20,GSN,CLEC5A,LINC02742,TMT1A,SYTL3,LCP2,PLXDC2,CTSB,TENM1,NLRC5,NFIA,LOC285626,MAML2,NXN,RERG,SEMA3E,ZBTB20,MRC1,ERBB4,PNOC,ADGRE2,THSD7B,ATP1A2,RGS10
21,CREB5,S100A4,GREM1,AMER2,SYK,SVIL,SLC52A3,SEMA3E,LOC102546299,ADARB2,GFAP,PLTP,NEAT1,PLD5,PLCG2,RHOH,CSPG4,ZNF804B,CLDN11,LINC02742,PLD4,PARD3B,DUSP1,GALNTL6
