,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,ND3,ND3,ND3,ND3,ND4,ND1,ND3,ND3,ND3,ND1,COX2,COX3,CYTB,ND1,ND3,ND3,ND3,ND3,ND3,ND3,ND3,ND4,ATP6,ND3
1,ATP6,ATP6,ND4,ATP6,ND2,ATP6,ATP6,ATP6,ATP6,ND4,CYTB,ND1,COX3,ND4,ATP6,ND4,ATP6,ND4,ND4,CYTB,ATP6,COX3,ND3,ND4
2,ND1,ND4,ATP6,COX2,ND3,ND3,ND4,ND1,ND1,ATP6,ND2,ATP6,ATP6,ND3,ND2,COX3,COX3,ND1,ND1,ND4,ND4,ND1,COX3,COX2
3,ND4,CYTB,COX2,ND4,ATP6,COX2,COX3,ND4,CYTB,COX3,ND4,COX2,ND1,ATP6,ND4,ATP6,ND4,ATP6,ATP6,ATP6,ND1,ATP6,ND4,ATP6
4,COX3,COX3,ND1,PLCG2,COX3,ND4,ND1,COX3,COX3,ND3,ND1,ND3,ND3,COX3,ND1,ND2,COX2,CYTB,COX2,COX2,COX2,ND2,COX2,ND1
5,COX2,ND1,ND2,COX3,COX2,ND2,COX2,ND2,COX2,ND2,ND3,ND2,ND2,ND2,CYTB,COX2,CYTB,COX2,COX3,COX3,ND2,ND3,ND1,COX3
6,CYTB,COX2,CYTB,ND1,ND1,COX3,CYTB,COX2,ND4,COX2,COX3,CYTB,ND4,COX2,COX2,ND1,ND1,COX3,ND2,ND1,COX3,COX2,ND2,CYTB
7,ND2,ND2,COX3,CYTB,CYTB,TPRG1,ND2,CYTB,ND2,CYTB,ATP6,ND4,COX2,CYTB,COX3,CYTB,PLCG2,ND2,CYTB,ND2,CYTB,CYTB,CYTB,ND2
8,PLCG2,FKBP5,ZNF804A,ND2,FGFR3,APOLD1,CNTN5,GFAP,GFAP,GJA5,FCGR2B,GFAP,PLCG2,LINC00351,RHOH,RELN,ND2,GFAP,FGFR3,FAM177B,LINC02742,AHNAK,PLCG2,LINC02742
9,SLC39A11,CHI3L1,ND6,FKBP5,ERBB4,PLCG2,LOC102546299,LINC02742,SDK1,HLA-DPA1,LINC00351,DPEP2,FKBP5,ANGPTL4,CNTN5,THSD4,PARD3,MSR1,C7,GALNTL6,PLCG2,FAXDC2,AKR1C2,ERBB4
10,NEAT1,S100A4,SEMA3E,QDPR,GREM1,CYTB,ARHGAP24,PIK3R5,ND6,LYPD6,ANGPTL4,NLRC5,TMCC3,FCGR2B,PECAM1,PECAM1,APOD,ERBB4,COL6A3,LINC02742,GREM1,LINC01317,TFPI,GJA1
11,RANBP3L,NHSL1,GFAP,ANLN,CNTN5,F11-AS1,CDH20,ND6,LINC02742,LINC02742,CDC14A,VAV3,NDRG2,LNCAROD,ERBB4,SLC25A48,MT3,LINC02742,SYK,STEAP1B,GFAP,LINC02742,GPX3,GREM1
12,HIF3A,ELMO1,GREM1,LOC105371366,HPGDS,TMEM156,LINC02742,ZFP36L2,THSD7A,RNF144B,ADARB2,SLC7A2,PARD3,GREM1,NDRG2,ITGB2-AS1,OLIG1,SEMA3E,AGMO,NEAT1,ADGRE2,LITAF,TIMP3,GFAP
13,PARD3,PELI1,VAV3,LDLRAD3,STEAP1B,P2RY8,ND6,GAB3,GREM1,TSHZ2,PLA2G4A,SNTB1,GFAP,NFATC2,LPCAT2,NR2F2-AS1,VCAN,ARHGAP24,RGL3,ERBB4,STEAP1B,TNS3,TXNIP,CA8
14,PLCE1,HS3ST4,LINC02742,MAN2A1,COL6A3,AGBL1,THSD7A,NDRG2,NDRG2,SGO1-AS1,LNCAROD,SEMA3E,LINC02742,CSRP1,THSD4,PLD4,TXNIP,NPAS3,CT69,OBI1-AS1,LINC01317,NWD1,CEBPD,NPAS3
15,CSRP1,TNFRSF11B,NDRG2,CXCR4,SYK,RANBP3L,NDRG2,SEMA3E,CDH20,ND6,KIF19,PHYHD1,GRAMD2B,PLCG2,VRK2,ERBB4,FKBP5,MRC1,FCGBP,LINC01036,PALD1,ITGA1,RANBP3L,ND6
16,COL21A1,PLCG2,NEAT1,VSIR,FCGBP,ST6GALNAC3,GREM1,MAML3,ADARB2,MRC1,RFTN2,PLCG2,ATP1B2,RFTN2,LINC02742,SEMA3E,NFATC2,LINC02997,VWF,LINC00836,SPTLC3,APOD,CPM,LINC01098
17,FKBP5,SERPINE1,MAF,ERBIN,PRDM16,HCLS1,PDE3A,CD99,FGFR3,PTGDS,SGCZ,HLA-B,RGL3,ND6,ADARB2,COL21A1,KIF19,IQGAP2,ITGAL,CNTN5,SEMA3E,HCK,APOD,HCK
18,HPSE2,RANBP3L,PDZRN4,LINC02742,SLC6A12,TAC1,HCK,SASH1,GJA1,NLRC5,ZCCHC24,PLTP,GJA1,ARHGAP42,FOXO1,LINC02742,RGCC,GPR37,PLCG2,LINC01748,ND6,NXN,GPC3,LINC01317
19,ZBTB20,TXNIP,GJA1,LINC01445,GFAP,IL18R1,ADARB2,TENM1,SLC7A2,SNTB1,CSF2RA,PARD3,ALOX5AP,FGFR3,GRIK1,LOC285626,GJA1,ITGA1,LINC01036,HCK,GJA1,TCF7L1,FKBP5,ADARB2
20,SASH1,CD74,SEMA3C,OLMALINC,ND6,GPR37L1,PLCG2,TMT1A,CNTN5,RHOJ,NFIA,HEPACAM,SV2C,ADARB2,PNOC,CPA6,OLIG2,AQP4,ERBB4,GFAP,ARHGAP15,CBLN2,NINJ2,PLCG2
21,SLC25A18,IQGAP2,GNG12-AS1,SYTL3,FGFR2,CXCL2,SYTL3,FOS,TMEM132C,GFAP,GFAP,ADAMTSL1,ND6,TSHZ2,RYR3,KLHL1,LINC01098,ATP1A2,CLDN11,BNC2,APBB1IP,ROR2,HILPDA,EDA
22,CREB5,CPM,CBLN2,TGFB2,EGFR,CARNS1,SLC7A2,H2BC8,IRAK3,PLCG2,GRIN2C,ND6,PDE3A,ADAMTS17,GREM1,VRK2,ZBTB20,CHODL,DPP10,ADAMTS9-AS2,NPAS3,EGFR,FTL,ATP1A2
23,LINC00511,TMT1A,ATP1B2,TMT1A,C7,IL2RG,GFAP,GREM1,FAM107A,LMNTD1,EZR,PLXDC2,SELPLG,GFAP,LINC01931,LUZP2,GREM1,KLHL1,GREM1,ARHGAP31,HSPA2,ERBB4,DUSP1,APOD
24,GSN,CLEC5A,FTL,ADARB2,RGL3,SYTL3,LRRC3B,MAF,NXN,HPSE2,ANO2,PRELP,IER3,LINC02742,ANLN,LPCAT2,LINC02742,GJA1,LINC02742,LINC02055,NEAT1,SEMA3E,ATP1A2,CHI3L1
25,ZFP36L1,ARHGAP15,EGFR,AMER2,CCN1,GIMAP5,GJA1,CDH5,LOC102546299,GREM1,LRRC3B,GJA1,PTGDS,PLD5,NTNG1,PNOC,LINC01500,ALPK1,GFAP,NPAS3,HIF3A,TAFA4,TMT1A,RGCC
26,LINC00472,SPON1,HIF3A,LHFPL3,IGFBP7,PLXDC2,MAF,CA2,PLCG2,PLPPR1,ND6,RUNX1,SEMA3E,PARVG,LINC01098,PMP22,HIF3A,CD58,MIR4300HG,GJA1,LINC01098,PLCG2,ID3,LITAF
27,GREM1,CXCR4,GLUL,HLA-E,VWF,HCK,LOC100507336,GPRC5B,GLUL,TFEB,MYO16,HPSE2,FGFR3,TGM2,HHATL,RHOH,CSPG4,SAMMSON,SEMA3E,RANBP3L,FAM107A,THSD7B,PDGFD,IGFBP5
28,KLF2,AHNAK,HLA-B,ARHGAP15,SYTL3,NCKAP5,TSHZ2,SEMA3C,HCK,NDRG2,MARCKSL1,FGFR3,TFPI,SPP1,RERG,GFAP,LOC101927314,OLIG1,ND6,APOD,PON2,SLC2A9,RAMP2,DOCK8
29,CDH23,ALOX15B,QKI,HLA-B,ITGAL,CLEC4E,COL6A3,SLC1A3,LHFPL3,CHD7,UACA,LOC285626,NEAT1,NXN,PLCG2,CNTN5,CIITA,TTYH2,EGFR,ATP1A2,PCAT1,NPAS3,BGN,SEMA3E
30,CCL2,FLT1,PAWR,CA2,LRRC3B,TIMP3,NLRC5,GJA1,TNS3,GRIK1,LRRC63,CYP27A1,ADARB2,NFIA,C8orf34,SMOC1,CDH20,LINC00326,ADGRG1,FIRRE,CNTN5,ATP1A2,RGS16,LOC105377862
