,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,MT3,HSPA1A,PCDH9-AS2,LDB3,DPP10-AS3,LOC105377862,PCDH9-AS2,CTNNA3,DEFB4A,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH11Y,PCDH11Y,BACH1,LINC00299,ZNF385D-AS2,EYS,LINC01060,BACH1,BACH1,ADGRD1,LINC01060
1,FTH1,HSPA1B,TIMP3,GLDN,PCDH9-AS2,TNFSF10,FTH1,PPP1R9A-AS1,PCDH9-AS2,CTNNA3,ERBB4,TIMP3,CNTN5,PCDH9-AS2,TRPC3,PDE8A,LHFPL3-AS1,PCDH9-AS2,DPP10-AS3,CNR1,SST,SGCZ,MYO16,FTH1
2,SLC1A3,ZFP36L1,CTNNA3,PDE8A,PLEKHH2,A2M,TIMP3,PCDH9-AS2,CTNNA3,ZNF385D-AS2,ADAMTSL1,CTNNA3,CTNNA3,CTNNA3,SAT1,IPO9-AS1,TRPM3,PCDH11Y,PDE8A,THSD7B,PLCH1,RNASET2,LINC02055,PCDH9-AS2
3,EFEMP1,IPCEF1,P2RY14,HHATL,PDE8A,ABCG2,PALM2AKAP2,DPP10-AS3,FTH1,DENND3,DENND3,FTH1,TIMP3,SLC1A2,PCDH9-AS2,PCDH11Y,BEST3,GNG12-AS1,IPO9-AS1,COL21A1,PDE8A,PDE4B,GABRE,CXCL14
4,PCDH9-AS2,LINC02712,PDE7B-AS1,OPALIN,ZNF385D-AS2,ENTREP1,LOC105374524,LINC02072,TIMP3,DPP10-AS3,DPP10-AS3,DENND3,STK32B,ADAMTSL1,LINC01630,PRKCH,IPO9-AS1,SLC26A5-AS1,CTNNA3,FTH1,PDE1C,PWRN1,PLCE1,PDE7B-AS1
5,F3,NCKAP5,CHST9,SLC7A14-AS1,KCNIP1,C8orf34,PCDH11Y,TIMP3,DPP10-AS3,ABCC4,ELMO1,CHST9,MCTP2,LINC02232,SPHKAP,SHISA6,ST6GAL1,CCK,PLCH1,PDE7B-AS1,TMEM165,STK32B,LOC105377448,ABCB1
6,LINC00299,LINC00278,LOC105374524,SVEP1,CREB5,PAQR5,ABCB1,CYP1B1,PPP1R9A-AS1,LINC01060,CTNNA3,PPP1R9A-AS1,MYO10,PPP1R9A-AS1,COL25A1,KIT,LHFPL3,LINC01060,SGCZ,PKP2,RNASET2,PCDH9-AS2,COL4A4,PPP1R9A-AS1
7,GNA14-AS1,DENND3,PCED1B,SEMA3B,IPO9-AS1,CEMIP,TMEM165,IPO9-AS1,LINC00299,C10orf90,LINC01060,DPYD-AS1,P2RY14,ELMO1,BACH1,PPP1R9A-AS1,ADAMTS9,CRH,TAC1,CXCL14,LINC01482,ENO4,HEY2-AS1,SHOC1
8,MT2A,ST6GAL1,NPAS3,KCNH8,PLD1,ID1,CTNNA3,MGST1,P2RY14,PCDH11Y,GNG12-AS1,P2RY14,RGS12,DPP10-AS3,SLAIN1,SAT1,CNTN5,TIMP3,TMEM165,TFRC,FTH1,IPO9-AS1,LINC01060,STARD13-AS
9,FTL,SLC2A3,SLC4A4,TP53TG5,LCP1,MYO5B,P2RY14,LOC105369147,PCED1B,HTR2C,PPP1R9A-AS1,IPO9-AS1,SVIL,HDAC2-AS2,FTH1,SPHKAP,CTNNA3,FTH1,PCDH9-AS2,PLD5,GNG12-AS1,ANOS1,COL15A1,ENO4
