,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,FTH1,HSPA1A,PCDH9-AS2,LDB3,DPP10-AS3,LOC105377862,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH11Y,PCDH11Y,PDE8A,LINC00299,ZNF385D-AS2,EYS,LINC01060,BACH1,BACH1,MYO16,LINC01060
1,MT3,HSPA1B,TIMP3,GLDN,PCDH9-AS2,A2M,FTH1,PPP1R9A-AS1,CTNNA3,ZNF385D-AS2,ERBB4,TIMP3,CNTN5,PCDH9-AS2,TRPC3,BACH1,LHFPL3-AS1,PCDH9-AS2,DPP10-AS3,CNR1,SST,SGCZ,ADGRD1,FTH1
2,SLC1A3,ZFP36L1,CTNNA3,PDE8A,PLEKHH2,TNFSF10,TIMP3,CTNNA3,FTH1,CTNNA3,ADAMTSL1,CTNNA3,CTNNA3,SLC1A2,SAT1,IPO9-AS1,TRPM3,PCDH11Y,PDE8A,THSD7B,PLCH1,RNASET2,LOC105377448,PCDH9-AS2
3,PCDH9-AS2,IPCEF1,P2RY14,HHATL,PDE8A,ENTREP1,PALM2AKAP2,DPP10-AS3,TIMP3,DPP10-AS3,DENND3,FTH1,TIMP3,CTNNA3,SPHKAP,SHISA6,LHFPL3,GNG12-AS1,IPO9-AS1,COL21A1,PDE8A,PDE4B,GABRE,CXCL14
4,EFEMP1,ST6GAL1,PDE7B-AS1,OPALIN,ZNF385D-AS2,ABCG2,PCDH11Y,TIMP3,PPP1R9A-AS1,DENND3,DPP10-AS3,DENND3,RGS12,ADAMTSL1,LINC01630,KIT,BEST3,SLC26A5-AS1,CTNNA3,FTH1,RNASET2,LOC105369147,PLCE1,ABCB1
5,F3,DENND3,CHST9,SLC7A14-AS1,CREB5,CEMIP,ABCB1,MGST1,DPP10-AS3,ABCC4,ELMO1,CHST9,MCTP2,DPP10-AS3,BACH1,PCDH11Y,ST6GAL1,CCK,PLCH1,CXCL14,TMEM165,PWRN1,LHFPL3,SHOC1
6,LINC00299,APBB1IP,NPAS3,SVEP1,KCNIP1,PAQR5,TMEM165,IPO9-AS1,P2RY14,HTR2C,CTNNA3,DPYD-AS1,STK32B,LINC02232,COL25A1,SPHKAP,IPO9-AS1,CRH,TAC1,PLD5,FTH1,SRGAP2B,LINC02055,PPP1R9A-AS1
7,DPP10-AS3,NCKAP5,PCED1B,KCNH8,IPO9-AS1,ID1,P2RY14,LINC02072,DENND3,C10orf90,LINC01060,P2RY14,MYO10,PPP1R9A-AS1,SLAIN1,SAT1,ADAMTS9,FTH1,SGCZ,PKP2,PDE1C,PCDH9-AS2,ADAMTS9,ENO4
8,GNA14-AS1,LINC02712,SLC4A4,SEMA3B,SERPINB9,CTNNA3,CTNNA3,CYP1B1,LINC00299,LINC01060,PPP1R9A-AS1,PPP1R9A-AS1,TTN,ELMO1,PCDH9-AS2,PPP1R9A-AS1,CNTN5,TIMP3,TMEM165,TFRC,USP53,NXPH2,L3MBTL4,PKP2
9,MT2A,LRMDA,DENND3,TP53TG5,TAFA4,ZBTB20-AS5,LOC105374524,LOC105369147,PCED1B,PCDH11Y,GNG12-AS1,IPO9-AS1,TMEM165,HDAC2-AS2,FTH1,PRKCH,ROBO2,LINC00299,SLC7A14-AS1,PDE7B-AS1,PCDH11Y,ANOS1,RREB1,VIP
10,P2RY14,LINC00278,SHOC1,PTGDS,PLD1,RNF220,PPP1R9A-AS1,LINC01090,ABCB1,PDLIM1,SLC1A2,ELMO1,DENND3,PDE4B,TMEM165,FTH1,CTNNA3,LINC01060,PCDH9-AS2,SLAIN1,GNG12-AS1,ANKRD44,RAD51B,PDE7B-AS1
11,LOC105369147,SLC2A3,MGST1,LINC00609,FTH1,ST8SIA6,DLEU1,IL18,HHIP,TMEM132C,SEMA5A,SLC7A14-AS1,P2RY14,TIMP3,KIT,FGF13,SGCZ,IPO9-AS1,SAT1,TMTC2,ABTB3,STK32B,SAMD9L,CCK
12,FTL,DUSP1,PDE4B,CPB2-AS1,KIF26B,ABCA1,B3GNT5,FTH1,TMEM165,BMP2K,SVIL,DPP10-AS3,SVIL,DLEU1,B2M,MYO16,PCDH9-AS2,SVIL,ARHGAP42,DOCK10,SLC24A3,SRGAP2,MYO10,STARD13-AS
