,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,NEAT1,ATP6,ND3,ND3,ATP6,ND3,ND3,CYTB,ATP6,COX3,FCGR2B,ND3,ND3,FCGR2B,ATP6,ATP6,ND4,ND3,ND3,ND3,ND3,ND3,ND3,ND3
1,PARD3,ND3,ATP6,PLCG2,ND4,ADAMTS9,ATP6,ND4,ND3,COX2,ATP6,ATP6,ATP6,ND3,ND3,COX2,ATP6,ATP6,ATP6,ATP6,ATP6,ATP6,ATP6,ATP6
2,ND3,COX2,ND1,ATP6,ND3,LINC00472,COX3,ND1,COX3,ND1,COX2,ND1,ND4,COX2,ND4,ND3,CYTB,COX2,COX2,ND4,ND1,COX3,ND1,ND4
3,PLCG2,ND4,COX3,COX2,COX2,ND1,CYTB,ND3,COX2,ATP6,COX3,ND4,ND1,COX3,ND1,CYTB,ND3,ND4,ND1,COX3,ND4,ND1,ND4,COX2
4,SLC39A11,CYTB,ND4,COX3,COX3,ND4,COX2,ATP6,ND4,ND3,CYTB,COX3,COX3,ND4,CYTB,ND4,COX3,ND1,ND4,COX2,COX3,ND2,CYTB,ND1
5,ATP6,FKBP5,COX2,ND4,ND1,SYTL4,ND4,COX2,CYTB,CYTB,ND3,CYTB,COX2,ND1,COX2,TRGC2,PARD3,COX3,COX3,ND1,COX2,CYTB,COX2,COX3
6,HIF3A,COX3,CYTB,CYTB,CYTB,RBPMS,ND1,COX3,ND1,ND4,ND1,ND2,CYTB,CYTB,ND2,ND1,COX2,ND2,CYTB,CYTB,CYTB,COX2,ND2,CYTB
7,SAMD4A,ND1,ND2,FKBP5,ND2,ATP6,ND2,ND2,ND2,ND2,ND4,COX2,ND2,ATP6,COX3,CXCL2,PLCG2,CYTB,ND2,ND2,ND2,ND4,COX3,ND2
8,RANBP3L,ND2,NEAT1,ND1,C7,YBX3,CNTN5,GFAP,CDH20,GJA5,ND2,DPEP2,FKBP5,ND2,CNTN5,COX3,FKBP5,SLC25A48,C7,NEAT1,NEAT1,KLF4,PRELP,ERBB4
9,CYTB,LNCAROD,HS3ST2,ND2,COL6A3,PLCG2,CDH20,PITPNC1,THSD7A,TSHZ2,LINC00351,GFAP,NEAT1,LINC00351,RHOH,CXCL1,ND1,SGO1-AS1,FCGBP,EGFR,XYLT1,ERBB4,PLCG2,ZBTB20
