,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,ND3,ATP6,ND4,ND3,COX2,ND3,CYTB,ND2,CYTB,ND1,COX2,ND4,ND4,CYTB,ND3,COX3,ATP6,COX2,COX3,ND4,CYTB,CYTB,ND3,ND1
1,NEAT1,ND3,ND1,ATP6,ND4,ND1,ND2,ND3,ND1,ATP6,CYTB,ND1,COX2,ND3,ND4,ND1,ND4,ATP6,ND1,ND3,ND3,COX2,ND1,ND3
2,ATP6,ND4,CYTB,PLCG2,ND3,ADAMTS9,COX2,ND1,ND4,COX2,ND4,COX2,ND2,COX3,ND2,ND4,ND3,ND4,ATP6,ND1,COX2,ND2,ATP6,ND4
3,CYTB,COX2,COX2,COX2,ND2,ATP6,COX3,ND4,ND3,COX3,ND3,COX3,CYTB,ND1,ATP6,ND2,CYTB,ND3,ND4,ATP6,ATP6,ND3,CYTB,ATP6
4,ND4,COX3,ATP6,CYTB,ATP6,ND4,ND1,ATP6,COX3,ND3,ND2,CYTB,ATP6,ND4,ND1,ATP6,COX3,COX3,ND2,ND2,COX3,COX3,COX3,CYTB
5,ND2,CYTB,ND3,COX3,COX3,LINC00472,ATP6,COX2,ATP6,ND4,COX3,ND2,ND3,COX2,CYTB,ND3,COX2,ND2,ND3,COX3,ND1,ATP6,ND4,ND2
6,COX2,ND1,ND2,ND4,ND1,RBPMS,ND3,COX3,COX2,ND2,ATP6,ATP6,COX3,ND2,COX2,CYTB,ND1,ND1,COX2,COX2,ND4,ND4,ND2,COX2
7,ND1,ND2,COX3,FKBP5,CYTB,MARCHF3,ND4,CYTB,ND2,CYTB,ND1,ND3,ND1,ATP6,COX3,COX2,PARD3,CYTB,CYTB,CYTB,ND2,ND1,COX2,COX3
8,SLC39A11,FKBP5,HS3ST2,ND1,ERBB4,YBX3,CNTN5,GFAP,THSD7A,TSHZ2,LINC00351,GFAP,FKBP5,ANGPTL4,CNTN5,TSHZ2,FKBP5,SLC25A48,EGFR,NEAT1,NEAT1,NEAT1,PRELP,ERBB4
9,COX3,LNCAROD,NEAT1,ND2,FCGBP,APOLD1,CDH20,FKBP5,SDK1,GJA5,ANGPTL4,PLXDC2,NEAT1,ARHGAP42,RHOH,LRMDA,PLCG2,SGO1-AS1,FCGBP,EGFR,XYLT1,ERBB4,FKBP5,ZBTB20
