,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,PPP1R9A-AS1,CCL8,PCDH9-AS2,LDB3,ZNF385D-AS2,LINC03069,PCDH9-AS2,FTH1,PCDH9-AS2,ZNF385D-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH11Y,CXCL14,BACH1,IPO9-AS1,FTH1,TAC1,CXCL14,SST,BACH1,CCK,FTH1
1,FTH1,IFITM1,TIMP3,GLDN,DPP10-AS3,SLCO1A2,FTH1,CTNNA3,FTH1,PCDH9-AS2,DPP10-AS3,TIMP3,FTH1,PCDH9-AS2,TRPC3,IPO9-AS1,SIPA1,CRH,EYS,PDE7B-AS1,BACH1,PCDH9-AS2,FGF1,VIP
2,VCAM1,VCAN-AS1,CTNNA3,PDE8A,KCNIP1,TNFSF10,P2RY14,CYP1B1,PPP1R9A-AS1,DPP10-AS3,CTNNA3,FTH1,P2RY14,FTH1,PCDH9-AS2,FTH1,LHFPL3-AS1,PCDH9-AS2,IPO9-AS1,LINC01060,GNG12-AS1,SST,TLL1,CXCL14
3,PCDH9-AS2,CCL3,P2RY14,CARNS1,P2RY14,IFI44L,ABCB1,PCDH9-AS2,HHIP,CTNNA3,FTH1,CTNNA3,CCK,HDAC2-AS2,FTH1,PCDH9-AS2,PSTPIP2,ZNF385D-AS2,FTH1,FTH1,FTH1,SGCZ,XAF1,FTL
4,S100B,CH25H,PDE7B-AS1,OPALIN,EYS,ITM2A,PPP1R9A-AS1,ANGPT2,PCED1B,LOC100506474,ELMO1,IPO9-AS1,MGST1,SLC1A2,SPHKAP,FGF13,IL18,GNG12-AS1,GNG12-AS1,THSD7B,FGF1,CRYBG3,THSD4,P2RY14
5,PRKCQ,H2BC7,FTH1,MBP,FTH1,A2M,HHIP,FGF1,CTNNA3,HTR2C,PPP1R9A-AS1,P2RY14,IPO9-AS1,MGST1,P2RY14,FTL,PCDH9-AS2,SLC26A5-AS1,CTNNA3,PDE4B,IPO9-AS1,IPO9-AS1,ST6GALNAC3,SHOC1
6,APOE,FOS,PPP1R9A-AS1,PTGDS,ZNF804B,B2M,UST,PPP1R9A-AS1,ABCB1,SLC24A3,ADAMTSL1,CHST9,STK32B,LINC02232,CRH,PPP1R9A-AS1,VCAN-AS1,CXCL14,FTL,ANGPT2,B3GNT5,FTH1,PRKCQ,PPP1R9A-AS1
7,ALDH1A1,CYSLTR1,RFX4,LINC01608,CRH,LOC105377862,TIMP3,EYS,P2RY14,C10orf90,SLC1A2,DPYD-AS1,CHST9,ELMO1,PCDH11Y,CTNNA3,GPR34,TIMP3,PDE8A,KMO,PDE1C,PDE4B,ADGRL4,PCDH9-AS2
8,MT3,RGS5,DPYD-AS1,KCNH8,IPO9-AS1,APCDD1,B3GNT5,HHIP,FGF1,PPP1R9A-AS1,P2RY14,DPP10-AS3,ANGPT2,LOC105369147,KIT,EYA4,NDST4,HHIP,DPP10-AS3,IL1RAPL2,PCDH9-AS2,HHIP,RNASE1,FN1
9,SPHKAP,GASK1B-AS1,CHST9,SVEP1,FAM222A-AS1,ABCG2,ANGPT2,DPP10-AS3,TIMP3,FN1,GNG12-AS1,PPP1R9A-AS1,B3GNT5,PPP1R9A-AS1,FTL,SV2C,FTH1,SLC7A14-AS1,ANGPT2,FN1,TMEM165,TAC1,DLEU1,STARD13-AS
10,DPP10,H2BC8,DLEU1,FTH1,PCDH9-AS2,SLC7A5,FN1,PCA3,B3GNT5,ANGPT2,UST,ANGPT2,RGS12,FGF1,CCK,FGF1,CEMIP,CCK,SLC7A14-AS1,HHIP,HHIP,COL25A1,ABCG2,ABCB1
11,ETNPPL,LINC02712,MGST1,LMCD1-AS1,PLEKHH2,RAMP2,DLEU1,IPCEF1,UST,HHIP,DPYD-AS1,UST,CTNNA3,IPO9-AS1,NXPH2,P2RY14,CFTR,FTL,P2RY14,PPP1R9A-AS1,LINC02899,LOC105369147,SLC1A3-AS1,SHISA8
12,CST3,ZFP36L1,PDE4B,SEMA3B,LAMA2,MBNL3,TMEM165,IPO9-AS1,SHOC1,P2RY14,LOC105369147,B3GNT5,DPYD-AS1,CTNNA3,MYH11,SHISA6,FAT4,PACRG-AS3,ENO4,TIMP3,MKRN3,ZBTB20-AS5,ID1,KMO
13,SULF2,NTN1,PCED1B,TP53TG5,LHFPL3-AS1,ATP10A,PALM2AKAP2,P2RY14,DPYD-AS1,TTN,STARD13-AS,ZNF804B,PPP1R9A-AS1,UST,ZNF385D-AS2,CFTR,CTNNA3,SHOC1,PCDH9-AS2,FTL,ANGPT2,PPP1R9A-AS1,SLCO1B1,CRH
14,PAMR1,GPR183,IPO9-AS1,PCDH9-AS2,UTRN,FTH1,CHST9,B3GNT5,DPP10-AS3,SVIL,CHST9,RFX4,ABCB1,ANGPT2,IPO9-AS1,SHOC1,PPP1R9A-AS1,P2RY14,HHIP,PLD5,ALK,KCNIP1,PLP1,B3GNT5
15,HTR2C,HHATL,ANGPT2,PLEKHH1,TIMP3,XAF1,SHOC1,CHST9,LOC105369147,MGST1,DENND3,CCK,HHIP,SVIL,PDE8A,PDE7B-AS1,OTULINL,ANGPT2,FN1,LINC02899,PDE8A,TRPC6,DIPK2B,PKP2
16,GNA14-AS1,LINC02642,HHIP,GAD2,FN1,IFI27,GNG12-AS1,SHOC1,DENND3,ABCB1,ANGPT2,HHIP,RBPMS,DPYD-AS1,LINC02899,FBXL7,PREX2,IPO9-AS1,DLEU1,ZNF385D-AS2,FTL,LHFPL3-AS1,IFI44L,CCK
17,HEPN1,FAM177B,SHOC1,HEY2-AS1,TMEM165,ITGA8,FTL,IL18,IPCEF1,ADAMTSL1,SLC7A14-AS1,LOC105369147,RFX4,DPP10-AS3,BACH1,TRPC3,TMEM165,PPP1R9A-AS1,RFX4,ARHGAP42,ENO4,C21orf91,ABCB1,ENO4
18,TAC1,MRC1,RIN3,PALM2AKAP2,FTL,LHCGR,IPO9-AS1,ABCB1,LINC01877,ADAM12,B3GNT5,SLC7A14-AS1,SHOC1,LOC100506474,PPP1R9A-AS1,TIMP3,PPP1R14A,FBN2,TMEM165,SHOC1,RNASET2,LOC101927560,LOC105377862,PDE7B-AS1
19,SYNPR,A2M,DENND3,LINC01299,FGF1,CTSC,LINC02930,TP53TG5,CHST9,FTH1,SEMA5A,MGST1,SVIL,P2RY14,SV2C,PDE8A,LOC105373170,C11orf96,PDE7B-AS1,P2RY14,COL25A1,LINC01090,LINC02649,MARCKSL1
20,LOC105370315,MNDA,DOCK2,CTNNA3,ENO4,MX2,EYS,LINC02072,PCA3,GNA14-AS1,PDE4B,LINC00299,LINC01877,ADAMTSL1,ANGPT2,CA8,ZBTB20-AS5,LINC02899,SHISA6,MGST1,FRMD4B,B3GNT5,SHOC1,HIF1A-AS3
21,SHISA6,SAT1,B3GNT5,LPAR1,PDE8A,HLA-C,CCK,ZNF804B,IPO9-AS1,SHISA6,TTN,TTN,TIMP3,DLEU1,TIMP3,SPHKAP,HES1,ABCB1,IL18,PCDH9-AS2,CTNNA3,SLC7A14-AS1,CTSC,PTPRZ1
