,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
0,FTH1,CCL8,PCDH9-AS2,CARNS1,DPP10-AS3,SLCO1A2,PCDH9-AS2,FTH1,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,PCDH9-AS2,CXCL14,BACH1,IPO9-AS1,PCDH9-AS2,TAC1,CXCL14,SST,BACH1,THSD4,FTH1
1,PCDH9-AS2,VCAN-AS1,P2RY14,PDE8A,ZNF385D-AS2,IFI44L,FTH1,PCDH9-AS2,FTH1,ZNF385D-AS2,DPP10-AS3,FTH1,FTH1,PCDH11Y,CRH,IPO9-AS1,SIPA1,FTH1,EYS,PDE7B-AS1,BACH1,PCDH9-AS2,ST6GALNAC3,VIP
2,PPP1R9A-AS1,CCL3,TIMP3,GLDN,KCNIP1,TNFSF10,P2RY14,PPP1R9A-AS1,P2RY14,DPP10-AS3,FTH1,TIMP3,P2RY14,FTH1,TRPC3,FTH1,LHFPL3-AS1,CRH,IPO9-AS1,FTH1,GNG12-AS1,SST,CCK,CXCL14
3,S100B,IFITM1,CTNNA3,LDB3,P2RY14,ITM2A,ABCB1,P2RY14,PPP1R9A-AS1,CTNNA3,P2RY14,CTNNA3,CCK,HDAC2-AS2,P2RY14,PCDH9-AS2,IL18,ZNF385D-AS2,FTH1,LINC01060,FGF1,IPO9-AS1,FGF1,PCDH9-AS2
4,PRKCQ,CH25H,PDE7B-AS1,MBP,FTH1,LINC03069,PPP1R9A-AS1,ANGPT2,HHIP,PPP1R9A-AS1,PPP1R9A-AS1,P2RY14,MGST1,LINC02232,FTH1,PPP1R9A-AS1,PSTPIP2,CXCL14,GNG12-AS1,PDE4B,FTH1,FTH1,TLL1,FTL
5,APOE,SIGLEC1,FTH1,PTGDS,PCDH9-AS2,B2M,HHIP,HHIP,TIMP3,LOC100506474,CTNNA3,CHST9,IPO9-AS1,SLC1A2,PCDH9-AS2,FTL,CFTR,SLC26A5-AS1,CTNNA3,THSD7B,PCDH9-AS2,SGCZ,XAF1,P2RY14
6,ALDH1A1,H2BC7,CHST9,OPALIN,CRH,A2M,TIMP3,IPO9-AS1,PCED1B,P2RY14,DPYD-AS1,DPYD-AS1,CHST9,MGST1,SPHKAP,FGF13,PCDH9-AS2,GNG12-AS1,FTL,ANGPT2,IPO9-AS1,CRYBG3,ADGRL4,CRH
7,MT3,FOS,PPP1R9A-AS1,KCNH8,EYS,APCDD1,UST,DPP10-AS3,ABCB1,C10orf90,CHST9,IPO9-AS1,STK32B,LOC105369147,FTL,EYA4,VCAN-AS1,TIMP3,DPP10-AS3,PCDH9-AS2,B3GNT5,PDE4B,PRKCQ,SHOC1
8,HEPN1,RGS5,DPYD-AS1,LINC01608,ZNF804B,MBNL3,ANGPT2,CTNNA3,DPYD-AS1,HTR2C,ELMO1,DPP10-AS3,ANGPT2,DPP10-AS3,KIT,CFTR,GPR34,HHIP,ANGPT2,KMO,HHIP,PPP1R9A-AS1,DLEU1,PPP1R9A-AS1
9,DPP10,CYSLTR1,RFX4,SVEP1,FAM222A-AS1,LOC105377862,B3GNT5,FGF1,CTNNA3,ANGPT2,LOC105369147,PPP1R9A-AS1,B3GNT5,ELMO1,PCDH11Y,FGF1,NDST4,SLC7A14-AS1,P2RY14,FN1,LINC02899,COL25A1,ABCB1,FN1
10,DPP10-AS3,GASK1B-AS1,PCED1B,FTH1,IPO9-AS1,ABCG2,FN1,CHST9,UST,SLC24A3,GNG12-AS1,ANGPT2,ABCB1,FGF1,ZNF385D-AS2,P2RY14,CEMIP,FTL,PCDH9-AS2,ZNF385D-AS2,MKRN3,HHIP,RNASE1,SHISA8
11,ETNPPL,SELENOP,MGST1,LMCD1-AS1,LAMA2,ATP10A,DLEU1,ABCB1,B3GNT5,FN1,SLC1A2,B3GNT5,RGS12,ANGPT2,CCK,CTNNA3,FTH1,P2RY14,PDE8A,HHIP,ANGPT2,LOC105369147,ABCG2,STARD13-AS
12,CST3,LINC02712,DLEU1,SEMA3B,LHFPL3-AS1,LHCGR,CHST9,TP53TG5,FGF1,HHIP,ANGPT2,HHIP,PPP1R9A-AS1,SVIL,MYH11,SV2C,FAT4,PACRG-AS3,SLC7A14-AS1,IL1RAPL2,TMEM165,B3GNT5,IFI44L,ABCB1
13,LOC105370315,LILRB5,PDE4B,TP53TG5,PLEKHH2,SLC7A5,SHOC1,PCA3,SHOC1,FTH1,UST,CCK,DPYD-AS1,PPP1R9A-AS1,NXPH2,PDE7B-AS1,PPP1R9A-AS1,CCK,HHIP,TIMP3,PDE1C,ZBTB20-AS5,CTSC,KMO
14,SULF2,JAML,ANGPT2,PCDH9-AS2,TIMP3,RAMP2,TMEM165,EYS,DPP10-AS3,ABCB1,ADAMTSL1,ZNF804B,RFX4,IPO9-AS1,LINC02899,SHOC1,CTNNA3,SHOC1,ENO4,PPP1R9A-AS1,ALK,ITM2A,SLC1A3-AS1,B3GNT5
15,SPHKAP,H2BC8,HHIP,GAD2,FN1,FTH1,PALM2AKAP2,CYP1B1,CHST9,TTN,STARD13-AS,RFX4,RBPMS,CTNNA3,PDE8A,TRPC3,OTULINL,ANGPT2,FN1,FTL,PDE8A,TRPC6,PLP1,CCK
16,HTR2C,VAV3,SHOC1,PLEKHH1,UTRN,XAF1,FTL,IPCEF1,LINC01877,MGST1,SLC7A14-AS1,SLC7A14-AS1,CTNNA3,UST,PPP1R9A-AS1,ZNF385D-AS2,PPP1R14A,HTR2C,SHISA6,RELN,FTL,TIMP3,LOC105377862,PKP2
17,GNA14-AS1,MRC1,IPO9-AS1,PALM2AKAP2,FTL,CD38,EYS,SHOC1,FTL,SVIL,B3GNT5,LOC105369147,TIMP3,DPYD-AS1,ANGPT2,SHISA6,PREX2,PPP1R9A-AS1,DLEU1,LINC02930,ENO4,LOC101927560,NLRP1,PDE7B-AS1
18,SYNPR,HHATL,RIN3,HEY2-AS1,FGF1,IFI27,GNG12-AS1,MGST1,LOC105369147,ADAM12,SEMA5A,SHOC1,SHOC1,P2RY14,IPO9-AS1,TIMP3,ZBTB20-AS5,FBN2,RFX4,PLD5,P2RY14,LHFPL3-AS1,ITGA6,TIMP3
19,P2RY14,VCAN,P2RY12,LINC01299,TMEM165,MX2,DPYD-AS1,LINC01090,PCA3,GNA14-AS1,DENND3,UST,HHIP,DLEU1,TIMP3,FBXL7,TMEM165,C11orf96,CPED1,MGST1,RNASET2,KCNIP1,SHOC1,ENO4
20,PAMR1,NTN1,LINC02694,CTNNA3,HHIP,CTSC,IPO9-AS1,B3GNT5,RCSD1,SHISA6,TTN,TTN,SVIL,CHST9,SV2C,CCK,KCNQ1,IPO9-AS1,IL18,RFX4,CTNNA3,GNG12-AS1,ID1,HIF1A-AS3
21,SHISA6,ZFP36L1,B3GNT5,LPAR1,PDE8A,ITGA8,LINC02930,IL18,DENND3,DENND3,HHIP,ABCB1,LINC01877,LOC100506474,BACH1,PDE8A,HES1,LINC02899,PDE7B-AS1,LINC02899,COL25A1,PACRG-AS3,LINC02649,MARCKSL1
22,CD38,GPR183,DOCK2,C5orf64,ENO4,MYT1,CCK,LOC105369147,ANGPT2,TGFB1,FGF1,MGST1,EYS,ADAMTSL1,SHOC1,SPHKAP,LOC105373170,ABCB1,TMEM165,SHOC1,FN1,C21orf91,LOC101927141,HLA-A
23,SRPX2,FAM177B,DENND3,LINC03002,SHOC1,HLA-C,LY86,LPAR6,IPO9-AS1,ADAMTSL1,PDE4B,FN1,P2RY12,B3GNT5,LINC01630,CA8,HES5,MARCKSL1,ETS1,P2RY14,CFTR,BEST3,NTNG1,CFTR
24,TAC1,LINC02642,FN1,MOG,SRGAP1,PDE7B-AS1,TGFB1,FN1,IPCEF1,GNA14,SHOC1,EYS,SHISA6,TTN,MIR325HG,ANGPT2,GPC5,HEPN1,LINC02899,CRH,GNB4,PALM2AKAP2,SLC7A5,LINC02930
25,VCAM1,LYZ,ABCB1,LINC02899,TTN,FLI1,GASK1B-AS1,LINC02072,RFX4,IPO9-AS1,SVIL,LINC00299,DENND3,PDE4B,MARCKSL1,RFX4,MROH9,A2M,STARD13-AS,TMTC2,FRMD4B,CMTM8,ENPP2,SLC7A14-AS1
26,LRP4-AS1,SAT1,NPAS3,LINC00609,SVIL,ITGA6,RFX4,SVIL,LPAR6,LHFPL3-AS1,CPQ,DENND3,RUNX2,FN1,FGF1,HHIP,PCDH11Y,PDE8A,WIF1,ARHGAP42,SLC7A14-AS1,ANKRD44,TIE1,IPO9-AS1
27,GNG12-AS1,A2M,ZNF804B,POLR2F,CFTR,TP53TG5,PCDH11Y,CFTR,CFTR,TRIM22,ERBB4,FTL,TP53TG5,SHOC1,TPD52L1,GNG12-AS1,LINC02649,HIF1A-AS3,TP53TG5,SLC7A14-AS1,PITPNC1,B2M,KCNIP1,PTPRZ1
28,HLA-DPB1,MNDA,SLC7A14-AS1,MARCKSL1,NIBAN1,ID1,TP53TG5,RFX4,LY86,LAMA2,TIMP3,GASK1B-AS1,CNTN5,STARD13-AS,FN1,B3GNT5,CCK,TAC1,LINC02930,C8orf34,USP53,TAC1,PDE7B-AS1,TAC3
29,PDE7B-AS1,MS4A4E,LY86,HHATL,SLC25A13,ST6GAL1,SLC7A14-AS1,SHISA6,EYS,UST,FN1,LINC01090,ENO4,FTL,GAD2,HLA-A,TAGLN,TMEM165,B3GNT5,ABCB1,PALM2AKAP2,RBPMS,TMCC3,LINC02899
30,EFEMP1,H1-3,LOC105369147,PLLP,SHISA6,GLDN,PDE7B-AS1,DLEU1,PRKCH,ABCC4,TP53TG5,LINC02008,SFMBT2,LMCD1-AS1,B2M,FN1,LRP4-AS1,DNAH11,ABCB1,BACH1,LOC105369147,LPAR6,BHLHE41,ANGPT2
